Product Title,Product Category,Product ID,Price,Image Link,Product Description
PALOMITAS DE MAIZ MANTEQUILLA LITE ACTII 85GR,Grocery,25057,¢560,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/076150202199.jpg.png,PALOMITAS DE MAIZ MANTEQUILLA LITE ACTII 85GR
PALOMITA MAIZ QUESO CHEDDAR ACTII 96 GR,Grocery,25061,¢800,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/076150220230.jpg.png,PALOMITA MAIZ QUESO CHEDDAR ACTII 96 GR
PALOMITA MAIZ CARAMELO ACTII 184 GR,Grocery,25058,"¢1,300",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/076150230383.jpg.png,PALOMITA MAIZ CARAMELO ACTII 184 GR
SALSA NO PICANTE COSTEÑA  325GR,Grocery,77054,"¢1,600",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/076397030210.jpg.png,SALSA NO PICANTE COSTEÑA  325GR
SALSA PICANTE COSTEÑA 325GR,Grocery,77057,"¢1,600",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/076397030234.jpg.png,SALSA PICANTE COSTEÑA 325GR
GALLETA SODA POZUELO 440g,Grocery,113436,"¢1,435",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581001124.jpg.png,GALLETA SODA POZUELO 440g
GALLETA SALADA SALADA POZUELO 176g,Grocery,11110,¢560,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581001179.jpg.png,GALLETA SALADA SALADA POZUELO 176g
GALLETA SODA CON ESPECIAS POZUELO 176g,Grocery,53265,¢680,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581001278.jpg.png,GALLETA SODA CON ESPECIAS POZUELO 176g
GALLETA SODA INTEGRAL POZUELO 176g,Grocery,5106,¢650,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581001377.jpg.png,GALLETA SODA INTEGRAL POZUELO 176g
GALLETA SALADA BOKITA TUBO POZUELO 125g,Grocery,15924,¢500,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581002312.jpg.png,GALLETA SALADA BOKITA TUBO POZUELO 125g
GALLETA SALADAS BOKITAS ORIGINAL POZUELO 324g,Grocery,15923,"¢1,700",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581002336.jpg.png,GALLETA SALADAS BOKITAS ORIGINAL POZUELO 324g
GALLETAS QUESO BLANCO BOKITAS POZUELO 144g,Grocery,115555,¢805,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581002404.jpg.png,GALLETAS QUESO BLANCO BOKITAS POZUELO 144g
GALLETA QUESO BLANCO BOKITAS POZUELO 362g,Grocery,115560,"¢1,680",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581002428.jpg.png,GALLETA QUESO BLANCO BOKITAS POZUELO 362g
GALLETA FAMILIA SURTIDA POZUELO 345g,Grocery,15931,"¢2,495",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581003029.jpg.png,GALLETA FAMILIA SURTIDA POZUELO 345g
GALLETA SORBETO VAINILLA FESTIVAL POZUELO 300g,Grocery,15937,"¢1,525",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581004187.jpg.png,GALLETA SORBETO VAINILLA FESTIVAL POZUELO 300g
GALLETAS CREMAS POZUELO 378g,Grocery,15927,"¢1,550",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581005085.jpg.png,GALLETAS CREMAS POZUELO 378g
GALLETAS DE VAINILLA RECREO TUBO POZUELO 167g,Grocery,15949,¢650,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581005382.jpg.png,GALLETAS DE VAINILLA RECREO TUBO POZUELO 167g
GALLETAS DE CHOCOLATE  CREMAS POZUELO 330GR,Grocery,55411,"¢1,545",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/086581005498.jpg.png,GALLETAS DE CHOCOLATE  CREMAS POZUELO 330GR
GALLETAS DE VAINILLA CREMAS POZUELO 300g,Grocery,55412,"¢1,545",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581005597.jpg.png,GALLETAS DE VAINILLA CREMAS POZUELO 300g
GALLETA MARIA POZUELO 168g,Grocery,15925,¢780,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581006211.jpg.png,GALLETA MARIA POZUELO 168g
GALLETA MARIA POZUELO 252g,Grocery,25840,"¢1,050",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/086581006280.jpg.png,GALLETA MARIA POZUELO 252g
